Ecoregion,Guild,Category,Var,IC
Conterminous United States,All,horiz_comp,Prop. Barren,4.540539703
Conterminous United States,All,horiz_comp,Prop. Cultivated Crops,3.592911322
Conterminous United States,All,horiz_comp,Prop. Deciduous Forest,12.67346279
Conterminous United States,All,horiz_comp,Prop. Evergreen Forest,NA
Conterminous United States,All,horiz_comp,Prop. Mixed Forest,5.106996197
Conterminous United States,All,horiz_comp,Prop. Developed,NA
Conterminous United States,All,horiz_comp,Prop. Herbaceous Wetland,NA
Conterminous United States,All,horiz_comp,Prop. Woody Wetland,2.589873961
Conterminous United States,All,horiz_comp,Prop. Open Water,NA
Conterminous United States,All,horiz_comp,Prop. Pasture,NA
Conterminous United States,All,horiz_comp,Prop. ScrubShrub,NA
Conterminous United States,All,horiz_comp,Number of Land Cover Classes,6.596838447
Conterminous United States,All,horiz_comp,Shannon Diversity of Land Cover Classes,NA
Conterminous United States,All,horiz_config,Forest Edge,16.74549771
Conterminous United States,All,horiz_config,Shrubland Core,6.665954455
Conterminous United States,All,horiz_config,Shrubland Edge,4.086029931
Conterminous United States,All,horiz_config,Grassland Core Area,5.227156051
Conterminous United States,All,horiz_config,Grassland Edge Area,NA
Conterminous United States,All,vert,Mean Canopy Height,17.08806473
Conterminous United States,All,vert,StdDev of Canopy Height,15.08667471
Conterminous United States,All,vert,Mean Biomass,NA
Conterminous United States,All,vert,StdDev of Biomass,NA
Conterminous United States,All,vert,CV of Biomass,NA
Eastern Broadleaf Forest,All,horiz_comp,Prop. Barren,NA
Eastern Broadleaf Forest,All,horiz_comp,Prop. Cultivated Crops,NA
Eastern Broadleaf Forest,All,horiz_comp,Prop. Deciduous Forest,NA
Eastern Broadleaf Forest,All,horiz_comp,Prop. Evergreen Forest,6.77093353
Eastern Broadleaf Forest,All,horiz_comp,Prop. Mixed Forest,1.89407018
Eastern Broadleaf Forest,All,horiz_comp,Prop. Developed,30.31191212
Eastern Broadleaf Forest,All,horiz_comp,Prop. Herbaceous Wetland,2.91596497
Eastern Broadleaf Forest,All,horiz_comp,Prop. Woody Wetland,NA
Eastern Broadleaf Forest,All,horiz_comp,Prop. Open Water,NA
Eastern Broadleaf Forest,All,horiz_comp,Prop. Pasture,3.90676102
Eastern Broadleaf Forest,All,horiz_comp,Prop. ScrubShrub,NA
Eastern Broadleaf Forest,All,horiz_comp,Number of Land Cover Classes,2.76041897
Eastern Broadleaf Forest,All,horiz_comp,Shannon Diversity of Land Cover Classes,NA
Eastern Broadleaf Forest,All,horiz_config,Forest Edge,NA
Eastern Broadleaf Forest,All,horiz_config,Shrubland Core,NA
Eastern Broadleaf Forest,All,horiz_config,Shrubland Edge,NA
Eastern Broadleaf Forest,All,horiz_config,Grassland Core Area,NA
