ID,Stratum,Reference,Classification
1,2016,2016,255
2,255,255,255
3,2016,2016,2016
4,2016,2016,2016
5,2016,2016,2016
6,2016,2016,2016
7,2016,2016,255
8,2016,2016,2016
9,2016,1993,255
10,2016,2016,2016
11,255,255,255
12,2016,2016,2016
13,255,1998,2016
14,2016,2016,2016
15,2016,2016,2016
16,2016,2016,2016
17,255,255,255
18,255,255,255
20,255,255,2016
21,2016,1995,255
22,255,1989,255
23,255,255,255
24,2016,2016,2016
25,255,255,255
26,2016,1995,2003
27,255,255,255
28,2016,2016,2016
29,2016,2016,2016
31,2016,2016,2016
33,2016,2016,2016
34,2016,2016,2016
35,2016,2016,2016
36,2016,2016,2016
38,255,255,255
39,2016,2016,2016
40,2016,2016,2016
41,2016,2016,2016
42,255,255,255
43,255,255,255
44,2016,2016,2016
45,2016,2016,2016
46,2016,2016,2016
47,2016,2016,2016
51,2016,2016,2016
52,2016,2016,2016
53,2016,2016,2016
54,2016,2016,2016
55,2016,2016,2016
56,2016,2016,255
57,255,255,255
58,255,255,255
59,255,255,255
60,2016,2016,2016
63,2016,2016,2016
64,2016,2016,2016
65,2016,2016,2016
66,255,255,255
67,2016,2016,2016
68,2016,2016,2016
69,2016,2016,2016
70,2016,2016,2016
72,2016,2016,2016
75,2016,2016,1999
76,2016,2016,2016
77,2016,2016,2016
78,2016,2016,2016
82,2016,2016,2016
101,255,255,255
102,255,255,255
103,255,255,255
104,255,255,255
105,255,255,255
106,255,255,255
107,255,255,255
108,255,255,255
109,255,255,255
110,255,255,255
111,255,255,255
112,255,255,255
113,255,255,255
114,255,255,255
115,255,255,255
116,255,255,255
117,255,255,255
118,255,255,255
119,255,255,255
120,255,255,255
121,255,255,255
122,255,255,255
123,255,255,255
124,255,255,255
125,255,255,255
126,255,255,255
127,255,255,255
128,255,255,255
129,255,255,255
130,255,255,255
131,255,255,255
132,255,255,255
133,255,255,255
201,1989,1988,255
202,1989,1991,1988
203,1989,1988,255
204,1989,1988,255
205,1989,1995,1988
206,1989,2016,1988
207,1989,1988,1988
209,1989,1988,1994
210,1989,1988,255
211,1989,1990,255
212,1989,1995,255
213,1989,1989,2016
215,1989,1988,255
216,1989,1990,1988
217,1989,1988,255
218,1989,1988,1988
219,1989,1988,255
220,1989,1988,255
221,1989,2016,255
223,1989,1988,255
226,1990,1990,1989
227,1990,1989,1989
228,1990,1991,255
229,1990,1990,1988
230,1990,1990,1988
231,1990,1990,1989
232,1990,1991,1988
233,1990,1990,1989
234,1990,1989,2016
235,1990,1997,1988
236,1990,1989,1989
239,1990,1989,1988
240,1990,1989,1989
241,1990,1989,1988
242,1990,1989,1988
243,1990,1989,1988
244,1990,1989,1988
245,1990,1991,1989
247,1990,1989,1989
248,1990,1994,2016
251,1991,1990,1990
252,1991,1990,255
253,1991,1990,1989
255,1991,1990,1990
256,1991,2016,1994
257,1991,1990,2016
259,1991,1990,1989
260,1991,1990,1990
262,1991,1991,1990
263,1991,1992,2016
265,1991,1989,1990
267,1991,1990,1990
268,1991,1991,1990
269,1991,1990,2008
270,1991,1990,1989
271,1991,1991,1990
272,1991,1990,1990
273,1991,1990,1989
274,1991,1990,1989
275,1991,2016,1993
276,1992,2016,1991
277,1992,1996,1991
