class,stratum,classification
2016,36581117,28819720
255,26813459,45532706
1988,0,1269372
1989,3083514,298128
1990,580061,296708
1991,557654,340345
1992,624377,401746
1993,646041,680139
1994,975932,754741
1995,1211609,847746
1996,1368828,733608
1997,1228393,782716
1998,1192696,782057
1999,1216660,528907
2000,1018210,531589
2001,1006775,1134303
2002,1545623,970924
2003,1762525,670004
2004,1332981,422885
2005,1080290,309114
2006,783957,333552
2007,776998,342897
2008,723003,232079
2009,507003,185558
2010,377980,146680
2011,257398,152042
2012,224637,178333
2013,262763,331590
2014,269705,0
