class,stratum,classification,,,,,
2016,36581117,28819720,,,,,
255,26813459,45532706,,,,,
1988,3083514,1269372,,,,,
1989,580061,298128,,,,,
1990,557654,296708,,,,,
1991,624377,340345,,,,,
1992,646041,401746,,,,,
1993,975932,680139,,,,,
1994,1211609,754741,,,,,
1995,1368828,847746,,,,,
1996,1228393,733608,,,,,
1997,1192696,782716,,,,,
1998,1216660,782057,,,,,
1999,1018210,528907,,,,,
2000,1006775,531589,,,,,
2001,1545623,1134303,,,,,
2002,1762525,970924,,,,,
2003,1332981,670004,,,,,
2004,1080290,422885,,,,,
2005,783957,309114,,,,,
2006,776998,333552,,,,,
2007,723003,342897,,,,,
2008,507003,232079,,,,,
2009,377980,185558,,,,,
2010,257398,146680,,,,,
2011,224637,152042,,,,,
2012,262763,178333,,,,,
2013,269705,331590,,,,,
